season,week,team,conference,division,off_injury_adj,def_injury_adj
2026,14,CLE,AFC,AFC North,0,0
2026,14,DAL,NFC,NFC East,0,0
2026,14,DEN,AFC,AFC West,0,0
2026,14,DET,NFC,NFC North,0,0
2026,14,GB,NFC,NFC North,0,0
2026,14,HOU,AFC,AFC South,0,0
2026,14,IND,AFC,AFC South,0,0
2026,14,JAX,AFC,AFC South,0,0
2026,14,KC,AFC,AFC West,0,0
2026,14,LA,NFC,NFC West,0,0
2026,14,LAC,AFC,AFC West,0,0
2026,14,LV,AFC,AFC West,0,0
2026,14,MIA,AFC,AFC East,0,0
2026,14,MIN,NFC,NFC North,0,0
2026,14,NE,AFC,AFC East,0,0
2026,14,NO,NFC,NFC South,0,0
2026,14,NYG,NFC,NFC East,0,0
2026,14,NYJ,AFC,AFC East,0,0
2026,14,PHI,NFC,NFC East,0,0
2026,14,PIT,AFC,AFC North,0,0
2026,14,SEA,NFC,NFC West,0,0
2026,14,SF,NFC,NFC West,0,0
2026,14,TB,NFC,NFC South,0,0
2026,14,TEN,AFC,AFC South,0,0
2026,14,WAS,NFC,NFC East,0,0
2026,15,ARI,NFC,NFC West,0,0
2026,15,ATL,NFC,NFC South,0,0
2026,15,BAL,AFC,AFC North,0,0
2026,15,BUF,AFC,AFC East,0,0
2026,15,CAR,NFC,NFC South,0,0
2026,15,CHI,NFC,NFC North,0,0
2026,15,CIN,AFC,AFC North,0,0
2026,15,CLE,AFC,AFC North,0,0
2026,15,DAL,NFC,NFC East,0,0
2026,15,DEN,AFC,AFC West,0,0
2026,15,DET,NFC,NFC North,0,0
2026,15,GB,NFC,NFC North,0,0
2026,15,HOU,AFC,AFC South,0,0
2026,15,IND,AFC,AFC South,0,0
2026,15,JAX,AFC,AFC South,0,0
2026,15,KC,AFC,AFC West,0,0
2026,15,LA,NFC,NFC West,0,0
2026,15,LAC,AFC,AFC West,0,0
2026,15,LV,AFC,AFC West,0,0
2026,15,MIA,AFC,AFC East,0,0
2026,15,MIN,NFC,NFC North,0,0
2026,15,NE,AFC,AFC East,0,0
2026,15,NO,NFC,NFC South,0,0
2026,15,NYG,NFC,NFC East,0,0
2026,15,NYJ,AFC,AFC East,0,0
2026,15,PHI,NFC,NFC East,0,0
2026,15,PIT,AFC,AFC North,0,0
2026,15,SEA,NFC,NFC West,0,0
2026,15,SF,NFC,NFC West,0,0
2026,15,TB,NFC,NFC South,0,0
2026,15,TEN,AFC,AFC South,0,0
2026,15,WAS,NFC,NFC East,0,0
2026,16,ARI,NFC,NFC West,0,0
2026,16,ATL,NFC,NFC South,0,0
2026,16,BAL,AFC,AFC North,0,0
2026,16,BUF,AFC,AFC East,0,0
2026,16,CAR,NFC,NFC South,0,0
2026,16,CHI,NFC,NFC North,0,0
2026,16,CIN,AFC,AFC North,0,0
2026,16,CLE,AFC,AFC North,0,0
2026,16,DAL,NFC,NFC East,0,0
2026,16,DEN,AFC,AFC West,0,0
2026,16,DET,NFC,NFC North,0,0
2026,16,GB,NFC,NFC North,0,0
2026,16,HOU,AFC,AFC South,0,0
2026,16,IND,AFC,AFC South,0,0
2026,16,JAX,AFC,AFC South,0,0
2026,16,KC,AFC,AFC West,0,0
2026,16,LA,NFC,NFC West,0,0
2026,16,LAC,AFC,AFC West,0,0
2026,16,LV,AFC,AFC West,0,0
2026,16,MIA,AFC,AFC East,0,0
2026,16,MIN,NFC,NFC North,0,0
2026,16,NE,AFC,AFC East,0,0
2026,16,NO,NFC,NFC South,0,0
2026,16,NYG,NFC,NFC East,0,0
2026,16,NYJ,AFC,AFC East,0,0
2026,16,PHI,NFC,NFC East,0,0
2026,16,PIT,AFC,AFC North,0,0
2026,16,SEA,NFC,NFC West,0,0
2026,16,SF,NFC,NFC West,0,0
2026,16,TB,NFC,NFC South,0,0
2026,16,TEN,AFC,AFC South,0,0
2026,16,WAS,NFC,NFC East,0,0
2026,17,ARI,NFC,NFC West,0,0
2026,17,ATL,NFC,NFC South,0,0
2026,17,BAL,AFC,AFC North,0,0
2026,17,BUF,AFC,AFC East,0,0
2026,17,CAR,NFC,NFC South,0,0
2026,17,CHI,NFC,NFC North,0,0
2026,17,CIN,AFC,AFC North,0,0
2026,17,CLE,AFC,AFC North,0,0
2026,17,DAL,NFC,NFC East,0,0
2026,17,DEN,AFC,AFC West,0,0
2026,17,DET,NFC,NFC North,0,0
2026,17,GB,NFC,NFC North,0,0
2026,17,HOU,AFC,AFC South,0,0
2026,17,IND,AFC,AFC South,0,0
2026,17,JAX,AFC,AFC South,0,0
2026,17,KC,AFC,AFC West,0,0
2026,17,LA,NFC,NFC West,0,0
2026,17,LAC,AFC,AFC West,0,0
2026,17,LV,AFC,AFC West,0,0
2026,17,MIA,AFC,AFC East,0,0
2026,17,MIN,NFC,NFC North,0,0
2026,17,NE,AFC,AFC East,0,0
2026,17,NO,NFC,NFC South,0,0
2026,17,NYG,NFC,NFC East,0,0
2026,17,NYJ,AFC,AFC East,0,0
2026,17,PHI,NFC,NFC East,0,0
2026,17,PIT,AFC,AFC North,0,0
2026,17,SEA,NFC,NFC West,0,0
2026,17,SF,NFC,NFC West,0,0
2026,17,TB,NFC,NFC South,0,0
2026,17,TEN,AFC,AFC South,0,0
2026,17,WAS,NFC,NFC East,0,0
2026,18,ARI,NFC,NFC West,0,0
2026,18,ATL,NFC,NFC South,0,0
2026,18,BAL,AFC,AFC North,0,0
2026,18,BUF,AFC,AFC East,0,0
2026,18,CAR,NFC,NFC South,0,0
2026,18,CHI,NFC,NFC North,0,0
2026,18,CIN,AFC,AFC North,0,0
2026,18,CLE,AFC,AFC North,0,0
2026,18,DAL,NFC,NFC East,0,0
2026,18,DEN,AFC,AFC West,0,0
2026,18,DET,NFC,NFC North,0,0
2026,18,GB,NFC,NFC North,0,0
2026,18,HOU,AFC,AFC South,0,0
2026,18,IND,AFC,AFC South,0,0
2026,18,JAX,AFC,AFC South,0,0
2026,18,KC,AFC,AFC West,0,0
2026,18,LA,NFC,NFC West,0,0
2026,18,LAC,AFC,AFC West,0,0
2026,18,LV,AFC,AFC West,0,0
2026,18,MIA,AFC,AFC East,0,0
2026,18,MIN,NFC,NFC North,0,0
2026,18,NE,AFC,AFC East,0,0
2026,18,NO,NFC,NFC South,0,0
2026,18,NYG,NFC,NFC East,0,0
2026,18,NYJ,AFC,AFC East,0,0
2026,18,PHI,NFC,NFC East,0,0
2026,18,PIT,AFC,AFC North,0,0
2026,18,SEA,NFC,NFC West,0,0
2026,18,SF,NFC,NFC West,0,0
2026,18,TB,NFC,NFC South,0,0
2026,18,TEN,AFC,AFC South,0,0
2026,18,WAS,NFC,NFC East,0,0
